Round,ClientID,ClientAccuracy,ClientTrainingTime,exp,K,Z,sigma_ed,sigma_iid,timestamp
20,client9,0.8102920328891409,14314.387901686132,exp1,5,15,1000.0,10,10-05-26-111252
21,client5,0.8257487909042057,12944.468472152948,exp1,5,15,1000.0,10,10-05-26-111252
21,client17,0.8389352966161687,13118.166480213404,exp1,5,15,1000.0,10,10-05-26-111252
21,client13,0.811582816577345,16141.02168288082,exp1,5,15,1000.0,10,10-05-26-111252
21,client1,0.8085412667946257,14024.922527372835,exp1,5,15,1000.0,10,10-05-26-111252
21,client9,0.8257442585766941,14908.29960629344,exp1,5,15,1000.0,10,10-05-26-111252
22,client5,0.8183952258392964,12996.842180378737,exp1,5,15,1000.0,10,10-05-26-111252
22,client17,0.7986124876114965,13192.373915575445,exp1,5,15,1000.0,10,10-05-26-111252
22,client13,0.7795392687785853,16234.284621663392,exp1,5,15,1000.0,10,10-05-26-111252
22,client1,0.8111098566105905,15936.820584349334,exp1,5,15,1000.0,10,10-05-26-111252
22,client9,0.8246952083924015,15240.314524620771,exp1,5,15,1000.0,10,10-05-26-111252
23,client5,0.8063184093673106,14098.24256412685,exp1,5,15,1000.0,10,10-05-26-111252
23,client17,0.7930907546368399,13328.29785067588,exp1,5,15,1000.0,10,10-05-26-111252
23,client13,0.7508908779707624,16311.901770532131,exp1,5,15,1000.0,10,10-05-26-111252
23,client1,0.7623066501072598,14938.51837515831,exp1,5,15,1000.0,10,10-05-26-111252
23,client9,0.8354125318967961,13278.17199844867,exp1,5,15,1000.0,10,10-05-26-111252
24,client5,0.7740475719093814,13342.272111214696,exp1,5,15,1000.0,10,10-05-26-111252
24,client17,0.786747840860824,14092.18213427812,exp1,5,15,1000.0,10,10-05-26-111252
24,client13,0.7925867729173097,16629.056928679347,exp1,5,15,1000.0,10,10-05-26-111252
24,client1,0.7551936321553574,14398.719078861175,exp1,5,15,1000.0,10,10-05-26-111252
24,client9,0.7971080238162744,13732.150598429143,exp1,5,15,1000.0,10,10-05-26-111252
0,client5,0.6328942160909142,15419.026734307408,exp1,5,15,1000.0,10,09-05-26-141047
0,client17,0.6190328317759648,14124.948035925629,exp1,5,15,1000.0,10,09-05-26-141047
0,client13,0.6259055673009162,16968.743357807398,exp1,5,15,1000.0,10,09-05-26-141047
0,client1,0.6023915445864385,13643.923986703156,exp1,5,15,1000.0,10,09-05-26-141047
0,client9,0.4667044007358144,15429.810696281493,exp1,5,15,1000.0,10,09-05-26-141047
1,client5,0.616865494430938,14418.099284172058,exp1,5,15,1000.0,10,09-05-26-141047
1,client17,0.6436213759421845,14059.004552662373,exp1,5,15,1000.0,10,09-05-26-141047
1,client13,0.360676532769556,16518.550420179963,exp1,5,15,1000.0,10,09-05-26-141047
1,client1,0.582698138335553,12993.270363658668,exp1,5,15,1000.0,10,09-05-26-141047
1,client9,0.5515494552143767,15550.101071596146,exp1,5,15,1000.0,10,09-05-26-141047
2,client5,0.7032000904619212,13851.42185073346,exp1,5,15,1000.0,10,09-05-26-141047
2,client17,0.685712672557378,15290.853328071536,exp1,5,15,1000.0,10,09-05-26-141047
2,client13,0.669739252995067,16592.42350421846,exp1,5,15,1000.0,10,09-05-26-141047
2,client1,0.6761213907228472,14346.899495460091,exp1,5,15,1000.0,10,09-05-26-141047
2,client9,0.6193292769209,15419.028819538653,exp1,5,15,1000.0,10,09-05-26-141047
3,client5,0.6885282976197207,14771.727447398009,exp1,5,15,1000.0,10,09-05-26-141047
3,client17,0.679897241904977,15150.949712842705,exp1,5,15,1000.0,10,09-05-26-141047
3,client13,0.6984918957011981,16650.384102016687,exp1,5,15,1000.0,10,09-05-26-141047
3,client1,0.6267320279958063,13033.778454177082,exp1,5,15,1000.0,10,09-05-26-141047
3,client9,0.6122824395075704,14927.542231045663,exp1,5,15,1000.0,10,09-05-26-141047
4,client5,0.5632950754791655,13232.041388750076,exp1,5,15,1000.0,10,09-05-26-141047
4,client17,0.294215622618073,15238.306284882128,exp1,5,15,1000.0,10,09-05-26-141047
4,client13,0.6492741367159972,16471.61396034062,exp1,5,15,1000.0,10,09-05-26-141047
4,client1,0.3923663256921028,15140.089608728886,exp1,5,15,1000.0,10,09-05-26-141047
4,client9,0.4686288382623461,13613.065239973366,exp1,5,15,1000.0,10,09-05-26-141047
5,client5,0.7403177474981625,12551.011996343732,exp1,5,15,1000.0,10,09-05-26-141047
5,client17,0.787793241679135,14739.99591358006,exp1,5,15,1000.0,10,09-05-26-141047
