Unnamed: 0,GlobalAccuracy,AggregationTime,TotalTrainingTime,RoundDuration,exp,K,Z,sigma_ed,sigma_iid,timestamp
5,0.6843500307314075,435.869487002492,35808.1918573007,168141492529,exp1,5,30,1000.0,10,09-05-26-152933
6,0.6956054087277197,500.91316644102335,35105.19614815712,169600094195,exp1,5,30,1000.0,10,09-05-26-152933
7,0.6968346650276582,533.4877343848348,35411.9623741135,167621069427,exp1,5,30,1000.0,10,09-05-26-152933
8,0.7214582052858021,489.88979775458574,36431.26890901476,167612768858,exp1,5,30,1000.0,10,09-05-26-152933
9,0.7171942224953903,480.30693642795086,36561.81851867586,167586190855,exp1,5,30,1000.0,10,09-05-26-152933
10,0.5945374923171481,524.3187071755528,36438.40857129544,168724960310,exp1,5,30,1000.0,10,09-05-26-152933
11,0.5907728948985863,525.2797128632665,35622.661013156176,168869520804,exp1,5,30,1000.0,10,09-05-26-152933
12,0.7054778733866011,509.42135881632566,36219.35785468668,169066755157,exp1,5,30,1000.0,10,09-05-26-152933
13,0.7414336201598033,509.1174887493253,35904.58545833826,168800601578,exp1,5,30,1000.0,10,09-05-26-152933
14,0.7536109403810695,530.2586164325476,35674.18973427266,168166783238,exp1,5,30,1000.0,10,09-05-26-152933
15,0.7562231100184389,541.5018750354648,36355.24023510516,167264807641,exp1,5,30,1000.0,10,09-05-26-152933
16,0.761140135218193,480.82984797656536,35462.170460261405,168397274274,exp1,5,30,1000.0,10,09-05-26-152933
17,0.761639520590043,530.0659956410527,37004.92785871029,168200090785,exp1,5,30,1000.0,10,09-05-26-152933
18,0.7638291333743086,469.7722755372524,36362.55963332951,167654492084,exp1,5,30,1000.0,10,09-05-26-152933
19,0.7469268592501537,506.1101661995053,36315.12782163918,166855792575,exp1,5,30,1000.0,10,09-05-26-152933
20,0.6828518746158574,486.3080624490976,36242.21927020699,169502289275,exp1,5,30,1000.0,10,09-05-26-152933
21,0.7008681622618316,490.4174720868468,36331.57826401293,168571742912,exp1,5,30,1000.0,10,09-05-26-152933
22,0.7292178856791641,539.1906565055251,35778.561412356794,168644296116,exp1,5,30,1000.0,10,09-05-26-152933
23,0.7511524277811924,458.2964312285185,38634.7985630855,166849700042,exp1,5,30,1000.0,10,09-05-26-152933
24,0.7627919483712354,513.9520093798637,35913.30378316343,166266816703,exp1,5,30,1000.0,10,09-05-26-152933
0,0.2860325752919483,635.7598630711436,38020.06202097982,167684192999,exp1,5,30,1000.0,10,08-05-26-134913
1,0.4261677934849416,541.0162005573511,36443.06030403823,168636270214,exp1,5,30,1000.0,10,08-05-26-134913
2,0.4969268592501537,533.8388225063682,35677.56653949618,167286363162,exp1,5,30,1000.0,10,08-05-26-134913
3,0.4893208358942839,491.35605059564114,35340.59160575271,165739993497,exp1,5,30,1000.0,10,08-05-26-134913
4,0.6454363859864782,518.3926923200488,37295.03237176687,168173212727,exp1,5,30,1000.0,10,08-05-26-134913
5,0.6946450522433928,477.2171461954713,36499.1151439026,169908872453,exp1,5,30,1000.0,10,08-05-26-134913
6,0.697641364474493,529.7175329178572,38644.25894711167,168344637198,exp1,5,30,1000.0,10,08-05-26-134913
