Round,ClientID,ClientAccuracy,ClientTrainingTime,K,timestamp
2,client17,0.2807409060477572,1755.788854090497,5,05-03-26-193309
2,client13,0.3858411108581834,2224.106504116208,5,05-03-26-193309
2,client1,0.3118766999093382,1739.504364086315,5,05-03-26-193309
2,client9,0.3165627782724844,1795.7647941075263,5,05-03-26-193309
3,client5,0.5014816503305219,1873.4104461036625,5,05-03-26-193309
3,client17,0.3608569515733095,1865.192637080327,5,05-03-26-193309
3,client13,0.4985203733211928,2110.288636991754,5,05-03-26-193309
3,client1,0.4848141432456935,1709.1912301257253,5,05-03-26-193309
3,client9,0.3893588601959038,1943.7097588088363,5,05-03-26-193309
4,client5,0.5042170047868703,1890.675463946536,5,05-03-26-193309
4,client17,0.3305065833519304,1668.8747219741344,5,05-03-26-193309
4,client13,0.5365353972228546,2138.253145152703,5,05-03-26-193309
4,client1,0.4873073436083409,1709.8462770227345,5,05-03-26-193309
4,client9,0.4939893143365984,2122.249148087576,5,05-03-26-193309
5,client5,0.5219968087531343,1877.985015977174,5,05-03-26-193309
5,client17,0.4635126087926802,1674.2024240083992,5,05-03-26-193309
5,client13,0.5583883450944684,2150.997669203207,5,05-03-26-193309
5,client1,0.5564369900271986,1739.5114721730351,5,05-03-26-193309
5,client9,0.507346393588602,1879.580011125654,5,05-03-26-193309
6,client5,0.5855937998632322,1933.514708187431,5,05-03-26-193309
6,client17,0.4367328721267574,1725.500248838216,5,05-03-26-193309
6,client13,0.510585021625313,2208.212579833344,5,05-03-26-193309
6,client1,0.5151858567543064,1749.2865968961269,5,05-03-26-193309
6,client9,0.4494657168299198,1758.539326954633,5,05-03-26-193309
7,client5,0.5618873945748804,1853.4740859176964,5,05-03-26-193309
7,client17,0.2950234322695826,1673.332555918023,5,05-03-26-193309
7,client13,0.5697700887776007,2086.719761835411,5,05-03-26-193309
7,client1,0.6065276518585675,1938.856991007924,5,05-03-26-193309
7,client9,0.5950578806767587,1803.0995179433376,5,05-03-26-193309
8,client5,0.4811944381126054,1904.4729680754244,5,05-03-26-193309
8,client17,0.2561928141039946,1652.348248986527,5,05-03-26-193309
8,client13,0.503528340541771,2278.969170991332,5,05-03-26-193309
8,client1,0.5534904805077062,1707.3566510807725,5,05-03-26-193309
8,client9,0.4703918076580587,1818.6895600520077,5,05-03-26-193309
9,client5,0.323227718258491,1953.3000071533024,5,05-03-26-193309
9,client17,0.2169158669939745,1660.912916995585,5,05-03-26-193309
9,client13,0.3578420213976781,2162.8353821579367,5,05-03-26-193309
9,client1,0.3689936536718041,1725.0155708752573,5,05-03-26-193309
9,client9,0.3719946571682992,1798.3720349147916,5,05-03-26-193309
10,client5,0.2564394802826533,1871.8295958824456,5,05-03-26-193309
10,client17,0.2950234322695826,1824.452032102272,5,05-03-26-193309
10,client13,0.3353061689050762,2060.7294209767133,5,05-03-26-193309
10,client1,0.2470534904805077,1724.726869026199,5,05-03-26-193309
10,client9,0.2577916295636687,1888.2977820467204,5,05-03-26-193309
11,client5,0.3061317529063141,1866.3507420569656,5,05-03-26-193309
11,client17,0.2950234322695826,1912.85211709328,5,05-03-26-193309
11,client13,0.2663328021852948,2113.00668399781,5,05-03-26-193309
11,client1,0.241613780598368,1700.3061301074922,5,05-03-26-193309
11,client9,0.3272484416740873,2277.5934420060366,5,05-03-26-193309
12,client5,0.4223843173011169,1893.4924430213869,5,05-03-26-193309
12,client17,0.491185003347467,1665.7038731500506,5,05-03-26-193309
12,client13,0.3086728886865468,2186.083859065548,5,05-03-26-193309
12,client1,0.4580689029918404,1943.8476969953624,5,05-03-26-193309
12,client9,0.4109528049866429,1896.0335010197011,5,05-03-26-193309
13,client5,0.5235924321860042,1870.0399368535727,5,05-03-26-193309
13,client17,0.4378486944878375,1649.526057066396,5,05-03-26-193309
13,client13,0.4830412019121329,2414.847404928878,5,05-03-26-193309
13,client1,0.6087941976427924,1705.6620051153004,5,05-03-26-193309
13,client9,0.4721727515583259,1779.4812489300966,5,05-03-26-193309
14,client5,0.6293594711648051,1863.48018492572,5,05-03-26-193309
14,client17,0.5324704307074314,1732.6674470677972,5,05-03-26-193309
14,client13,0.6237195538356476,2208.0255378969014,5,05-03-26-193309
14,client1,0.6616047144152312,1840.3357069473716,5,05-03-26-193309
14,client9,0.5066785396260017,1845.9821760188788,5,05-03-26-193309
15,client5,0.673808981080465,1800.4907760769129,5,05-03-26-193309
15,client17,0.4291452800714126,1679.6537381596863,5,05-03-26-193309
15,client13,0.6253129979512861,2185.091422870755,5,05-03-26-193309
15,client1,0.656844968268359,1741.4717881474644,5,05-03-26-193309
15,client9,0.641139804096171,1914.9319909047333,5,05-03-26-193309
16,client5,0.7000227946204696,2008.2752369344237,5,05-03-26-193309
16,client17,0.4639589377371123,1924.9508860521016,5,05-03-26-193309
16,client13,0.680628272251309,2258.970424998552,5,05-03-26-193309
16,client1,0.7026291931097008,1734.133595135063,5,05-03-26-193309
16,client9,0.7068121104185218,1943.735636072233,5,05-03-26-193309
17,client5,0.7155231365397766,1938.376517035067,5,05-03-26-193309
17,client17,0.6299933050658335,1695.1318390201775,5,05-03-26-193309
17,client13,0.7336671978147052,2151.5405140817165,5,05-03-26-193309
17,client1,0.7184950135992747,1735.2011720649898,5,05-03-26-193309
17,client9,0.6985752448797863,1941.3818011526016,5,05-03-26-193309
18,client5,0.755185776156827,1898.6840941943228,5,05-03-26-193309
18,client17,0.5563490292345459,1699.9793089926245,5,05-03-26-193309
18,client13,0.7332119280673799,2165.8137240447104,5,05-03-26-193309
18,client1,0.735947416137806,1710.891149006784,5,05-03-26-193309
18,client9,0.7041406945681211,1715.0891779456288,5,05-03-26-193309
19,client5,0.7645315705493504,1962.3989490792155,5,05-03-26-193309
19,client17,0.5454139700959607,1678.034130949527,5,05-03-26-193309
19,client13,0.7534714318233553,2181.7605590913445,5,05-03-26-193309
19,client1,0.7332275611967362,1702.070722123608,5,05-03-26-193309
19,client9,0.6885574354407836,1782.9704789910463,5,05-03-26-193309
20,client5,0.7152951903350809,1901.6291219741104,5,05-03-26-193309
20,client17,0.6496317786208435,1680.9938719961792,5,05-03-26-193309
20,client13,0.738902799908946,2140.334875090048,5,05-03-26-193309
20,client1,0.7157751586582048,1716.6164619848132,5,05-03-26-193309
20,client9,0.7139358860195903,1711.2989958841354,5,05-03-26-193309
21,client5,0.7656713015728288,1904.4687720015645,5,05-03-26-193309
21,client17,0.7554117384512385,1724.0675771608949,5,05-03-26-193309
21,client13,0.7398133394035966,2155.358667019754,5,05-03-26-193309
21,client1,0.7318676337262012,1960.85643209517,5,05-03-26-193309
21,client9,0.7459928762243989,1918.7610098160803,5,05-03-26-193309
22,client5,0.7565534533850011,1914.0991121530533,5,05-03-26-193309
22,client17,0.7560812318678867,1695.9816340822726,5,05-03-26-193309
22,client13,0.7459594809924881,2134.4387498684227,5,05-03-26-193309
22,client1,0.7191749773345422,1803.09290997684,5,05-03-26-193309
22,client9,0.7281834372217275,1916.91233497113,5,05-03-26-193309
23,client5,0.7772965580123091,1931.354661937803,5,05-03-26-193309
23,client17,0.7911180540058023,1669.287855969742,5,05-03-26-193309
23,client13,0.7691782381060779,2165.9339929465204,5,05-03-26-193309
23,client1,0.7694922937443336,1744.466454023495,5,05-03-26-193309
23,client9,0.7473285841495992,1996.4278240222484,5,05-03-26-193309
24,client5,0.7385457032140414,1860.1873328443617,5,05-03-26-193309
24,client17,0.7953581789779067,1648.2217889279127,5,05-03-26-193309
24,client13,0.7272934213521511,2153.274085139856,5,05-03-26-193309
24,client1,0.7642792384406165,1696.1616028565911,5,05-03-26-193309
24,client9,0.7157168299198575,1764.8605129215866,5,05-03-26-193309
0,client6,0.1901610412530333,2050.48262886703,10,03-03-26-205051
0,client5,0.1874447391688771,2285.832826048136,10,03-03-26-205051
0,client18,0.173658096526838,1855.4567319806663,10,03-03-26-205051
0,client17,0.1972758229284903,2022.0182549674064,10,03-03-26-205051
0,client14,0.2057405281285878,2173.3810019213706,10,03-03-26-205051
0,client13,0.1910755148741418,2307.3429770302027,10,03-03-26-205051
0,client2,0.2092541436464088,1937.764975009486,10,03-03-26-205051
0,client1,0.1985461154020899,1839.1110468655825,10,03-03-26-205051
0,client10,0.1444984533804684,1877.82518286258,10,03-03-26-205051
0,client9,0.1961451247165533,1793.2061559986323,10,03-03-26-205051
1,client5,0.2106542882404951,1860.982744023204,10,03-03-26-205051
1,client6,0.2397970439002867,2098.5172220971435,10,03-03-26-205051
1,client18,0.2171853856562922,1703.9963589049876,10,03-03-26-205051
1,client17,0.1925085130533484,1962.4204928986728,10,03-03-26-205051
1,client13,0.2155606407322654,2179.120193002745,10,03-03-26-205051
1,client14,0.1352468427095292,2065.92497904785,10,03-03-26-205051
1,client1,0.2067242162653339,2033.7385828606784,10,03-03-26-205051
1,client2,0.2325046040515653,1948.6824912019076,10,03-03-26-205051
1,client10,0.2196199734865223,1970.4840688500556,10,03-03-26-205051
1,client9,0.1768707482993197,1684.6473589539528,10,03-03-26-205051
2,client5,0.2541998231653404,1909.6341670956465,10,03-03-26-205051
2,client6,0.2638429296271785,2021.779540926218,10,03-03-26-205051
2,client18,0.1959855660802886,1822.4031971767545,10,03-03-26-205051
2,client17,0.2494892167990919,1681.3758849166334,10,03-03-26-205051
2,client14,0.2376578645235361,2008.501558098942,10,03-03-26-205051
2,client13,0.265903890160183,2219.017035095021,10,03-03-26-205051
2,client2,0.242403314917127,1676.7571340315044,10,03-03-26-205051
2,client1,0.2800999545661063,1747.063915943727,10,03-03-26-205051
2,client9,0.2408163265306122,1705.0420639570802,10,03-03-26-205051
2,client10,0.2384003535130358,1754.1820018086582,10,03-03-26-205051
3,client5,0.2066755083996463,1939.0281070955095,10,03-03-26-205051
3,client6,0.300463269358041,1932.677379110828,10,03-03-26-205051
3,client18,0.3382949932341001,1703.469148138538,10,03-03-26-205051
3,client17,0.2914869466515323,1952.421969966963,10,03-03-26-205051
3,client14,0.3120551090700344,2107.616923982277,10,03-03-26-205051
3,client13,0.297254004576659,2202.051545958966,10,03-03-26-205051
3,client2,0.3970994475138121,1660.7767280656844,10,03-03-26-205051
3,client1,0.4232167196728759,1716.8642489705237,10,03-03-26-205051
3,client9,0.3820861678004535,1948.03225598298,10,03-03-26-205051
4,client5,0.3693633952254642,1881.57742889598,10,03-03-26-205051
4,client6,0.3748069711008162,1856.113235000521,10,03-03-26-205051
4,client18,0.5205232295895355,1691.0065880510956,10,03-03-26-205051
4,client17,0.502383654937571,1669.206526130438,10,03-03-26-205051
4,client14,0.5226176808266361,2026.7006570938972,10,03-03-26-205051
4,client13,0.3848970251716247,2143.4021671302617,10,03-03-26-205051
4,client2,0.462707182320442,1616.050258046016,10,03-03-26-205051
4,client1,0.455474784189005,1693.5318568721414,10,03-03-26-205051
4,client9,0.4442176870748299,1711.7784800939262,10,03-03-26-205051
5,client6,0.5382748731524377,1870.2893001027403,10,03-03-26-205051
5,client5,0.497789566755084,1806.672696955502,10,03-03-26-205051
5,client18,0.5782589084348219,1729.6814529690892,10,03-03-26-205051
5,client17,0.4937570942111237,1893.8185339793563,10,03-03-26-205051
5,client14,0.5380022962112514,2047.0086950808764,10,03-03-26-205051
5,client13,0.4,2102.095796028152,10,03-03-26-205051
5,client2,0.5561694290976059,1649.4610169902444,10,03-03-26-205051
5,client1,0.481599273057701,1870.985586894676,10,03-03-26-205051
5,client9,0.5197278911564626,1717.3595670610666,10,03-03-26-205051
6,client5,0.535366931918656,1914.100654888898,10,03-03-26-205051
6,client6,0.5614383410544893,2059.4208710826933,10,03-03-26-205051
6,client18,0.5852503382949933,1670.3974280972034,10,03-03-26-205051
6,client17,0.6147559591373439,1681.3561709132046,10,03-03-26-205051
