round,namespace,pod_name,container_name,joules,exp,K,Z,sigma_ed,sigma_iid,timestamp,dbscan_label,zscore
18,client9,maurits-dijk-f92037faclient91-bvpxp,sidecar,787.1010000000006,exp1,5,120,1000.0,10,10-05-26-155156,-1,2.757694569876944
1,orchestrator,policy-enforcer-cb8dccbd8-9n2w2,sidecar,217.065,exp1,5,120,1000.0,10,09-05-26-191151,-1,-2.6282926731099567
24,server,maurits-dijk-f92037faserver1-nfgbz,sidecar,628.4099999999999,exp1,5,120,1000.0,10,10-05-26-155156,-1,2.580575174139349
22,server,server-656f98b57f-dr9f4,sidecar,579.4740000000002,exp1,5,120,1000.0,10,08-05-26-173133,-1,2.609303772011546
3,api-gateway,api-gateway-6bf76d45b7-dxvn8,sidecar,227.06699999999972,exp1,5,150,1000.0,10,08-05-26-184420,-1,-2.7003567684223193
24,client1,maurits-dijk-55508128client11-jxfm9,sidecar,780.1740000000009,exp1,5,150,1000.0,10,08-05-26-184420,-1,2.7592717987657256
2,client13,maurits-dijk-17694accclient131-bs9ft,sidecar,344.97900000000004,exp1,5,150,1000.0,10,09-05-26-202436,-1,-2.8802319730393298
24,client4,client4-744474fb99-k95jg,client4,995.8619999999974,exp1,5,150,1000.0,10,10-05-26-170501,-1,2.745116818202959
24,client4,client4-744474fb99-k95jg,linkerd-proxy,995.787000000004,exp1,5,150,1000.0,10,10-05-26-170501,-1,2.7451499908680725
24,client4,client4-744474fb99-k95jg,sidecar,993.3389999999964,exp1,5,150,1000.0,10,10-05-26-170501,-1,2.747894202484813
1,client5,maurits-dijk-55508128client51-b2k9d,sidecar,803.112,exp1,5,150,1000.0,10,08-05-26-184420,-1,2.827429434403854
11,client9,maurits-dijk-748e5a7fclient91-pnjg6,sidecar,762.2999999999993,exp1,5,150,1000.0,10,10-05-26-170501,-1,2.5109788123080983
21,orchestrator,orchestrator-555f7b7c9d-g4gwd,orchestrator,295.7579999999998,exp1,5,150,1000.0,10,09-05-26-202436,-1,2.6010238186364565
10,orchestrator,orchestrator-555f7b7c9d-kmvgv,orchestrator,340.5419999999999,exp1,5,150,1000.0,10,10-05-26-170501,-1,2.530918971292924
21,orchestrator,policy-enforcer-cb8dccbd8-stjhj,sidecar,395.762999999999,exp1,5,150,1000.0,10,09-05-26-202436,-1,2.881406963697121
4,server,maurits-dijk-748e5a7fserver1-2w7c6,sidecar,633.807,exp1,5,150,1000.0,10,10-05-26-170501,-1,2.507723692407849
20,server,server-656f98b57f-xrcgs,sidecar,562.7310000000016,exp1,5,150,1000.0,10,10-05-26-170501,-1,2.719119881888202
4,client1,client1-7b9db886dd-r2p8z,sidecar,822.1289999999999,exp1,5,190,1000.0,10,10-05-26-181748,-1,2.5590776284217465
11,client12,client12-79bc8d5846-t726h,sidecar,896.8829999999989,exp1,5,190,1000.0,10,10-05-26-181748,-1,2.5515994075872186
6,client18,client18-69db77c748-flz89,client18,1027.5749999999998,exp1,5,190,1000.0,10,09-05-26-213720,-1,2.849053722860081
6,client18,client18-69db77c748-flz89,linkerd-proxy,1027.245,exp1,5,190,1000.0,10,09-05-26-213720,-1,2.8481577810443457
6,client18,client18-69db77c748-flz89,sidecar,1025.679,exp1,5,190,1000.0,10,09-05-26-213720,-1,2.84975276907015
14,client2,client2-86cd6d8cf7-hf5z7,client2,1005.4979999999996,exp1,5,190,1000.0,10,08-05-26-195705,-1,2.738806453598178
14,client2,client2-86cd6d8cf7-hf5z7,linkerd-proxy,1005.4350000000012,exp1,5,190,1000.0,10,08-05-26-195705,-1,2.740303032270129
14,client2,client2-86cd6d8cf7-hf5z7,sidecar,1003.7009999999992,exp1,5,190,1000.0,10,08-05-26-195705,-1,2.7411694487882596
