round,namespace,pod_name,container_name,joules
2,client6,client6-785d875985-p6wj7,linkerd-proxy,683.3280000000959
2,client6,client6-785d875985-p6wj7,sidecar,681.3539999999339
2,client6,client6-785d875985-p6wj7,client6,683.3730000000214
2,client6,client6-785d875985-p6wj7,linkerd-init,0.0
2,client4,client4-744474fb99-7r6nj,client4,658.3439999999246
2,client4,client4-744474fb99-7r6nj,sidecar,656.26800000004
2,client4,client4-744474fb99-7r6nj,linkerd-proxy,658.2240000000456
2,client4,client4-744474fb99-7r6nj,linkerd-init,0.0
2,client17,client17-69b85b5ccf-vqwrf,linkerd-init,0.0
2,client17,client17-69b85b5ccf-vqwrf,linkerd-proxy,696.527999999933
2,client15,client15-79c969ddf-jsj98,linkerd-init,0.0
2,client15,client15-79c969ddf-jsj98,linkerd-proxy,737.6520000000019
2,client9,client9-d68fb99b4-27ck8,client9,756.3959999998333
2,client9,client9-d68fb99b4-27ck8,sidecar,754.8689999999478
2,client9,client9-d68fb99b4-27ck8,linkerd-proxy,756.0119999999879
2,client9,client9-d68fb99b4-27ck8,linkerd-init,0.0
2,client5,client5-7d5ff7f8b4-vtj9q,linkerd-proxy,650.1149999999907
2,client5,client5-7d5ff7f8b4-vtj9q,linkerd-init,0.0
2,client12,client12-79bc8d5846-jnjhx,client12,694.9439999999013
2,client12,client12-79bc8d5846-jnjhx,linkerd-init,0.0
2,client12,client12-79bc8d5846-jnjhx,sidecar,692.9220000001369
2,client12,client12-79bc8d5846-jnjhx,linkerd-proxy,694.7940000001108
2,client16,client16-6dc7f87f54-mhgpm,linkerd-proxy,792.6119999999646
2,client16,client16-6dc7f87f54-mhgpm,sidecar,791.1360000000568
2,client16,client16-6dc7f87f54-mhgpm,client16,792.8399999999674
2,client16,client16-6dc7f87f54-mhgpm,linkerd-init,0.0
2,client2,client2-86cd6d8cf7-5d6gw,linkerd-init,0.0
2,client2,client2-86cd6d8cf7-5d6gw,client2,835.0950000000885
2,client2,client2-86cd6d8cf7-5d6gw,linkerd-proxy,835.0320000000065
2,client2,client2-86cd6d8cf7-5d6gw,sidecar,833.3760000000475
2,client3,client3-58c68898cd-8576n,linkerd-proxy,915.8820000000997
2,client3,client3-58c68898cd-8576n,sidecar,913.4879999998957
2,client3,client3-58c68898cd-8576n,client3,915.7469999998575
2,client3,client3-58c68898cd-8576n,linkerd-init,0.0
2,client18,client18-69db77c748-ggr7s,client18,839.1570000000065
2,client18,client18-69db77c748-ggr7s,linkerd-proxy,838.9139999998733
2,client18,client18-69db77c748-ggr7s,linkerd-init,0.0
2,client18,client18-69db77c748-ggr7s,sidecar,837.3929999999236
2,client7,client7-544486cc98-xbnlj,sidecar,941.4750000000931
2,client7,client7-544486cc98-xbnlj,linkerd-proxy,942.8790000000736
2,client7,client7-544486cc98-xbnlj,client7,943.2989999999991
2,client7,client7-544486cc98-xbnlj,linkerd-init,0.0
2,client11,client11-565c48c7c7-bhp5f,linkerd-proxy,867.4799999999814
2,client11,client11-565c48c7c7-bhp5f,client11,867.8580000000075
2,client11,client11-565c48c7c7-bhp5f,sidecar,865.7549999998882
2,client11,client11-565c48c7c7-bhp5f,linkerd-init,0.0
2,client19,client19-56fccdb4d9-2l2q6,sidecar,903.1230000000214
2,client19,client19-56fccdb4d9-2l2q6,client19,904.8870000001043
2,client19,client19-56fccdb4d9-2l2q6,linkerd-proxy,904.6050000000978
2,client19,client19-56fccdb4d9-2l2q6,linkerd-init,0.0
2,client1,client1-7b9db886dd-8vd8t,linkerd-init,0.0
2,client1,client1-7b9db886dd-8vd8t,sidecar,812.5079999999143
2,client1,client1-7b9db886dd-8vd8t,client1,815.2979999999516
2,client1,client1-7b9db886dd-8vd8t,linkerd-proxy,815.0429999999469
2,client13,client13-7bf86f4f87-bmwmr,linkerd-proxy,902.7809999998426
2,client13,client13-7bf86f4f87-bmwmr,linkerd-init,0.0
2,client13,client13-7bf86f4f87-bmwmr,sidecar,901.1670000000158
2,client13,client13-7bf86f4f87-bmwmr,client13,903.0060000000522
2,client20,client20-65f8864f77-l5kdx,sidecar,866.0669999999227
2,client20,client20-65f8864f77-l5kdx,client20,868.0799999998417
2,client20,client20-65f8864f77-l5kdx,linkerd-proxy,867.8849999998929
2,server,server-656f98b57f-rlwxb,sidecar,510.6600000000326
2,server,server-656f98b57f-rlwxb,server,512.9159999999683
2,orchestrator,policy-enforcer-cb8dccbd8-z7pmg,sidecar,353.8859999999986
2,orchestrator,orchestrator-555f7b7c9d-vv2z2,orchestrator,97.43400000000838
2,api-gateway,api-gateway-6bf76d45b7-k9j8g,sidecar,353.87100000004284
2,orchestrator,orchestrator-555f7b7c9d-vv2z2,sidecar,353.8859999999986
2,api-gateway,api-gateway-6bf76d45b7-k9j8g,api-gateway,151.13999999998487
2,orchestrator,policy-enforcer-cb8dccbd8-z7pmg,policy-enforcer,151.94700000001467
2,client17,client17-69b85b5ccf-vqwrf,client17,696.7229999999981
2,client17,client17-69b85b5ccf-vqwrf,sidecar,695.1359999999404
2,client15,client15-79c969ddf-jsj98,client15,737.8979999999283
2,client15,client15-79c969ddf-jsj98,sidecar,736.4309999999823
2,client5,client5-7d5ff7f8b4-vtj9q,sidecar,648.9000000000233
2,client5,client5-7d5ff7f8b4-vtj9q,client5,650.1479999999283
2,client17,maurits-dijk-a51e0be5client171-4w5xg,hfl-train,0.0
2,client17,maurits-dijk-a51e0be5client171-4w5xg,sidecar,0.0
2,client17,maurits-dijk-a51e0be5client171-4w5xg,hfl-train-model,0.0
2,client9,maurits-dijk-a51e0be5client91-hvvmg,sidecar,0.0
2,client9,maurits-dijk-a51e0be5client91-hvvmg,hfl-train,0.0
2,client9,maurits-dijk-a51e0be5client91-hvvmg,hfl-train-model,0.0
2,client5,maurits-dijk-a51e0be5client51-55jvj,hfl-train,0.0
2,client5,maurits-dijk-a51e0be5client51-55jvj,sidecar,0.0
2,client5,maurits-dijk-a51e0be5client51-55jvj,hfl-train-model,0.0
2,client1,maurits-dijk-a51e0be5client11-jfcr5,sidecar,0.0
2,client1,maurits-dijk-a51e0be5client11-jfcr5,hfl-train,0.0
2,client1,maurits-dijk-a51e0be5client11-jfcr5,hfl-train-model,0.0
2,client13,maurits-dijk-a51e0be5client131-bbdtg,hfl-train-model,0.0
2,client13,maurits-dijk-a51e0be5client131-bbdtg,hfl-train,0.0
2,client13,maurits-dijk-a51e0be5client131-bbdtg,sidecar,0.0
3,client20,client20-65f8864f77-l5kdx,linkerd-init,0.0
3,server,server-656f98b57f-rlwxb,linkerd-proxy,514.1939999999595
3,server,server-656f98b57f-rlwxb,linkerd-init,0.0
3,client8,client8-5845965f99-vwgpx,linkerd-proxy,736.9739999999292
3,client8,client8-5845965f99-vwgpx,client8,737.3340000000317
3,client8,client8-5845965f99-vwgpx,linkerd-init,0.0
3,client8,client8-5845965f99-vwgpx,sidecar,735.9600000000792
3,client14,client14-856b5b5576-k4dxn,client14,899.3429999999935
3,client14,client14-856b5b5576-k4dxn,linkerd-proxy,899.1089999998221
3,client14,client14-856b5b5576-k4dxn,linkerd-init,0.0
3,client14,client14-856b5b5576-k4dxn,sidecar,897.5310000000754
3,client10,client10-694b6b97b4-fmmw2,sidecar,892.2899999999208
3,client10,client10-694b6b97b4-fmmw2,client10,894.783000000054
