Round,ClientID,ClientAccuracy,ClientTrainingTime,K,Z,sigma_ed,sigma_iid,timestamp
7,client13,0.4294372294372294,2014.7581820056075,5,100,1.7,10,08-03-26-183752
7,client1,0.5342425140824192,1381.4299359946745,5,100,1.7,10,08-03-26-183752
7,client9,0.2489349453080023,3861.328172992216,5,100,1.7,10,08-03-26-183752
8,client5,0.3143414211438475,1957.2598239901708,5,100,1.7,10,08-03-26-183752
8,client17,0.3465895396481079,1877.4476120015609,5,100,1.7,10,08-03-26-183752
8,client13,0.2591630591630591,1644.4677880062957,5,100,1.7,10,08-03-26-183752
8,client1,0.4227690483249333,1318.0702210083837,5,100,1.7,10,08-03-26-183752
8,client9,0.3942429476108232,3838.404708003509,5,100,1.7,10,08-03-26-183752
9,client5,0.4287261698440208,1721.8903550092364,5,100,1.7,10,08-03-26-183752
9,client17,0.4085321764280549,1528.271881994442,5,100,1.7,10,08-03-26-183752
9,client13,0.4565656565656565,1635.7886139885522,5,100,1.7,10,08-03-26-183752
9,client1,0.47316928550252,1284.6925060002832,5,100,1.7,10,08-03-26-183752
9,client9,0.5895221646516984,4025.6175020040246,5,100,1.7,10,08-03-26-183752
10,client5,0.5069324090121318,1934.9563190044137,5,100,1.7,10,08-03-26-183752
10,client17,0.5432634369727645,1600.1867179875262,5,100,1.7,10,08-03-26-183752
10,client13,0.3916305916305916,1623.960573997465,5,100,1.7,10,08-03-26-183752
10,client1,0.5286095463978654,1285.324659998878,5,100,1.7,10,08-03-26-183752
10,client9,0.6911917098445596,3646.39890298713,5,100,1.7,10,08-03-26-183752
11,client5,0.4980502599653379,1978.1059609958904,5,100,1.7,10,08-03-26-183752
11,client17,0.6575078332128224,1560.730559998774,5,100,1.7,10,08-03-26-183752
11,client13,0.4773448773448773,1635.6172079977114,5,100,1.7,10,08-03-26-183752
11,client1,0.5520308330862733,1314.9970950034913,5,100,1.7,10,08-03-26-183752
11,client9,0.707656879677605,3734.580078002182,5,100,1.7,10,08-03-26-183752
12,client5,0.5901213171577123,1668.5154409933602,5,100,1.7,10,08-03-26-183752
12,client17,0.6722101711255725,1815.907732991036,5,100,1.7,10,08-03-26-183752
12,client13,0.6369408369408369,1993.8039219996424,5,100,1.7,10,08-03-26-183752
12,client1,0.677438482063445,1571.859725998365,5,100,1.7,10,08-03-26-183752
12,client9,0.7141047783534831,3901.513728997088,5,100,1.7,10,08-03-26-183752
13,client5,0.6280329289428076,1642.4544589972356,5,100,1.7,10,08-03-26-183752
13,client17,0.7515063870812244,1715.0846930016996,5,100,1.7,10,08-03-26-183752
13,client13,0.6054834054834055,1685.592337991693,5,100,1.7,10,08-03-26-183752
13,client1,0.7109398161873703,1295.3072230011458,5,100,1.7,10,08-03-26-183752
13,client9,0.6966033390903857,3847.01575699728,5,100,1.7,10,08-03-26-183752
14,client5,0.7101386481802426,1952.6171820034504,5,100,1.7,10,08-03-26-183752
14,client17,0.7233068209207038,1570.5308360047638,5,100,1.7,10,08-03-26-183752
14,client13,0.7246753246753247,1591.4011540007778,5,100,1.7,10,08-03-26-183752
14,client1,0.7082715683367922,1474.8502009897493,5,100,1.7,10,08-03-26-183752
14,client9,0.748762233736327,3747.876599009032,5,100,1.7,10,08-03-26-183752
15,client5,0.7341854419410745,1999.7069219971308,5,100,1.7,10,08-03-26-183752
15,client17,0.737527114967462,1607.9968419944637,5,100,1.7,10,08-03-26-183752
15,client13,0.7451659451659451,1639.1408830095315,5,100,1.7,10,08-03-26-183752
15,client1,0.7714201008004744,1561.8593060062267,5,100,1.7,10,08-03-26-183752
15,client9,0.7427748992515832,3926.794230006635,5,100,1.7,10,08-03-26-183752
16,client5,0.7019064124783362,1677.3438679956598,5,100,1.7,10,08-03-26-183752
16,client17,0.7584960231381056,1547.22811600368,5,100,1.7,10,08-03-26-183752
16,client13,0.7702741702741702,1695.3668280038985,5,100,1.7,10,08-03-26-183752
16,client1,0.7568929736139934,1525.0606320041695,5,100,1.7,10,08-03-26-183752
16,client9,0.7541738629821532,3917.5105019967305,5,100,1.7,10,08-03-26-183752
17,client5,0.7222703639514731,1727.664096004446,5,100,1.7,10,08-03-26-183752
17,client17,0.7249939744516751,1698.9948370028287,5,100,1.7,10,08-03-26-183752
17,client13,0.7616161616161616,1621.5923540003132,5,100,1.7,10,08-03-26-183752
17,client1,0.7720130447672695,1316.9462930090958,5,100,1.7,10,08-03-26-183752
17,client9,0.7500287852619458,3877.241192996735,5,100,1.7,10,08-03-26-183752
18,client5,0.6646447140381283,1969.712163991062,5,100,1.7,10,08-03-26-183752
18,client17,0.7792239093757531,1556.8612390052294,5,100,1.7,10,08-03-26-183752
18,client13,0.7532467532467533,1716.4073160092812,5,100,1.7,10,08-03-26-183752
18,client1,0.7657871331159205,1331.959242001176,5,100,1.7,10,08-03-26-183752
18,client9,0.7241220495106505,3865.108594996855,5,100,1.7,10,08-03-26-183752
19,client5,0.7023396880415944,2022.234739997657,5,100,1.7,10,08-03-26-183752
19,client17,0.7707881417208966,1592.0209400064778,5,100,1.7,10,08-03-26-183752
19,client13,0.7725829725829726,1665.3563779982503,5,100,1.7,10,08-03-26-183752
19,client1,0.7675659650163059,1498.0014970060438,5,100,1.7,10,08-03-26-183752
19,client9,0.7610823258491652,3874.36891499965,5,100,1.7,10,08-03-26-183752
20,client5,0.5493934142114385,1692.622107002535,5,100,1.7,10,08-03-26-183752
20,client17,0.7734393829838515,1863.10160899302,5,100,1.7,10,08-03-26-183752
20,client13,0.7206349206349206,1586.8113019969314,5,100,1.7,10,08-03-26-183752
20,client1,0.7070856804032019,1595.3266239957884,5,100,1.7,10,08-03-26-183752
20,client9,0.7442717328727692,3647.490003000712,5,100,1.7,10,08-03-26-183752
21,client5,0.6063691507798961,1962.4407689989312,5,100,1.7,10,08-03-26-183752
21,client17,0.7676548565919499,1585.798073996557,5,100,1.7,10,08-03-26-183752
21,client13,0.6909090909090909,1618.96478899871,5,100,1.7,10,08-03-26-183752
21,client1,0.7761636525348354,1337.8150049975377,5,100,1.7,10,08-03-26-183752
21,client9,0.7458837075417386,3711.2765299971215,5,100,1.7,10,08-03-26-183752
22,client5,0.4815857885615251,1703.1751069880556,5,100,1.7,10,08-03-26-183752
22,client17,0.715353097131839,1681.2460159999318,5,100,1.7,10,08-03-26-183752
22,client13,0.5950937950937951,1618.0027829977917,5,100,1.7,10,08-03-26-183752
22,client1,0.7479988141120664,1349.631726989173,5,100,1.7,10,08-03-26-183752
22,client9,0.6679332181922856,3921.528892999049,5,100,1.7,10,08-03-26-183752
23,client5,0.4332755632582322,1927.510984998662,5,100,1.7,10,08-03-26-183752
23,client17,0.7030609785490479,1550.4301199980546,5,100,1.7,10,08-03-26-183752
23,client13,0.6109668109668109,1682.697009993717,5,100,1.7,10,08-03-26-183752
23,client1,0.7153868959383338,1287.1268919989234,5,100,1.7,10,08-03-26-183752
23,client9,0.6682786413356362,3807.114106006338,5,100,1.7,10,08-03-26-183752
24,client5,0.4365251299826689,1679.9150890001329,5,100,1.7,10,08-03-26-183752
24,client17,0.6924560134972283,1726.8530369910875,5,100,1.7,10,08-03-26-183752
24,client13,0.6256854256854257,1580.717631004518,5,100,1.7,10,08-03-26-183752
24,client1,0.6857396975985769,1325.4067500092788,5,100,1.7,10,08-03-26-183752
24,client9,0.487852619458837,3884.560731006786,5,100,1.7,10,08-03-26-183752
0,client5,0.1319826338639652,1451.2978220591322,5,100,1.7,10,18-03-26-170348
0,client17,0.1996187835730376,2471.2473819963634,5,100,1.7,10,18-03-26-170348
0,client13,0.1309489472166138,1800.5812580231575,5,100,1.7,10,18-03-26-170348
0,client1,0.2555186559874975,2014.154314994812,5,100,1.7,10,18-03-26-170348
0,client9,0.5980898574118914,17340.472258045338,5,100,1.7,10,18-03-26-170348
1,client5,0.4874095513748191,1466.039099963382,5,100,1.7,10,18-03-26-170348
1,client17,0.3817362675446196,2501.4053700724617,5,100,1.7,10,18-03-26-170348
1,client13,0.3715027401211422,1586.7243009852243,5,100,1.7,10,18-03-26-170348
1,client1,0.4395389724555577,1938.672585063614,5,100,1.7,10,18-03-26-170348
1,client9,0.6547215496368038,14220.05296999123,5,100,1.7,10,18-03-26-170348
2,client5,0.7250361794500724,1549.8269939562306,5,100,1.7,10,18-03-26-170348
2,client17,0.6503205683590365,2518.320853007026,5,100,1.7,10,18-03-26-170348
2,client13,0.6781078742428612,1656.0602050740272,5,100,1.7,10,18-03-26-170348
2,client1,0.688220355538191,1929.8949480289596,5,100,1.7,10,18-03-26-170348
2,client9,0.7153349475383374,16197.994041023776,5,100,1.7,10,18-03-26-170348
3,client5,0.7227206946454414,1314.411540981382,5,100,1.7,10,18-03-26-170348
3,client17,0.6118523652746491,2438.4959409944718,5,100,1.7,10,18-03-26-170348
3,client13,0.6913758292471878,1632.726517971605,5,100,1.7,10,18-03-26-170348
3,client1,0.7233834733346357,2151.07313496992,5,100,1.7,10,18-03-26-170348
3,client9,0.4288673661555017,13841.165953897873,5,100,1.7,10,18-03-26-170348
4,client5,0.7065123010130246,1274.3323240429163,5,100,1.7,10,18-03-26-170348
4,client17,0.6009357130479986,2344.3856560625136,5,100,1.7,10,18-03-26-170348
4,client13,0.6633977502163253,1597.584624076262,5,100,1.7,10,18-03-26-170348
4,client1,0.6442664582926353,1908.532740897499,5,100,1.7,10,18-03-26-170348
4,client9,0.7725047080979285,16216.72759205103,5,100,1.7,10,18-03-26-170348
5,client5,0.7452966714905933,1283.279926981777,5,100,1.7,10,18-03-26-170348
5,client17,0.7293363368566973,2188.853594940156,5,100,1.7,10,18-03-26-170348
5,client13,0.7233919815402365,1645.382835995406,5,100,1.7,10,18-03-26-170348
5,client1,0.7550302793514359,1901.7338659614325,5,100,1.7,10,18-03-26-170348
5,client9,0.7796610169491526,15666.237956029365,5,100,1.7,10,18-03-26-170348
6,client5,0.7991316931982634,1281.8466250319034,5,100,1.7,10,18-03-26-170348
6,client17,0.7438918731588979,2206.0313560068607,5,100,1.7,10,18-03-26-170348
6,client13,0.760888376117681,1591.9229459250346,5,100,1.7,10,18-03-26-170348
6,client1,0.7983981246337175,2086.4586730021983,5,100,1.7,10,18-03-26-170348
6,client9,0.7222760290556901,16677.31754295528,5,100,1.7,10,18-03-26-170348
7,client5,0.8167872648335746,1316.5636640042069,5,100,1.7,10,18-03-26-170348
7,client13,0.7755985001442169,1588.615688029677,5,100,1.7,10,18-03-26-170348
7,client17,0.6820308438745452,2849.3890000972897,5,100,1.7,10,18-03-26-170348
