Round,ClientID,ClientAccuracy,ClientTrainingTime,K,Z,sigma_ed,sigma_iid,timestamp
2,client9,0.6122113147591216,7155.52764502354,5,30,1000.0,10,02-03-26-211419
3,client5,0.5802956776887485,7263.003177009523,5,30,1000.0,10,02-03-26-211419
3,client17,0.4388420460933108,6707.83482096158,5,30,1000.0,10,02-03-26-211419
3,client13,0.3197362539114886,8477.103227050975,5,30,1000.0,10,02-03-26-211419
3,client1,0.5078129407119084,7484.080172143877,5,30,1000.0,10,02-03-26-211419
3,client9,0.2252737899336095,6848.142960807309,5,30,1000.0,10,02-03-26-211419
4,client5,0.6819207764360682,7164.6936340257525,5,30,1000.0,10,02-03-26-211419
4,client17,0.6695334457560427,6470.911012031138,5,30,1000.0,10,02-03-26-211419
4,client13,0.6683057666517658,8453.0246949289,5,30,1000.0,10,02-03-26-211419
4,client1,0.7035595419416709,6764.14871099405,5,30,1000.0,10,02-03-26-211419
4,client9,0.6623730352380411,6519.00992100127,5,30,1000.0,10,02-03-26-211419
5,client5,0.7190497686491366,7291.980490088463,5,30,1000.0,10,02-03-26-211419
5,client17,0.7482855536818437,6549.112871056423,5,30,1000.0,10,02-03-26-211419
5,client13,0.7306660706303084,8587.30251993984,5,30,1000.0,10,02-03-26-211419
5,client1,0.697974840638574,7298.521047923714,5,30,1000.0,10,02-03-26-211419
5,client9,0.7086194178062759,6680.173855042085,5,30,1000.0,10,02-03-26-211419
6,client5,0.7194447579279991,7443.445981945842,5,30,1000.0,10,02-03-26-211419
6,client17,0.7093310848791455,6658.46947603859,5,30,1000.0,10,02-03-26-211419
6,client13,0.7495529727313366,8200.734419049695,5,30,1000.0,10,02-03-26-211419
6,client1,0.7209341682179726,6672.344394028187,5,30,1000.0,10,02-03-26-211419
6,client9,0.6950008511604153,6851.859511807561,5,30,1000.0,10,02-03-26-211419
7,client5,0.7490689538426815,7421.52682878077,5,30,1000.0,10,02-03-26-211419
7,client17,0.7340640809443507,6830.3200248628855,5,30,1000.0,10,02-03-26-211419
7,client13,0.7548614215467143,8458.079171134159,5,30,1000.0,10,02-03-26-211419
7,client1,0.7333446155581881,7207.868424942717,5,30,1000.0,10,02-03-26-211419
7,client9,0.7229756568121205,6953.386753099039,5,30,1000.0,10,02-03-26-211419
8,client5,0.7165669788962871,6958.066090941429,5,30,1000.0,10,02-03-26-211419
8,client17,0.7742551995503092,6855.43666803278,5,30,1000.0,10,02-03-26-211419
8,client13,0.768998658918194,8574.777730042115,5,30,1000.0,10,02-03-26-211419
8,client1,0.7417498730749704,7560.047950828448,5,30,1000.0,10,02-03-26-211419
8,client9,0.7281393633320093,7548.817882081494,5,30,1000.0,10,02-03-26-211419
9,client5,0.7391377948312832,7530.283777974546,5,30,1000.0,10,02-03-26-211419
9,client17,0.7277121978639686,7234.557016985491,5,30,1000.0,10,02-03-26-211419
9,client13,0.7658694680375503,8481.445371173322,5,30,1000.0,10,02-03-26-211419
9,client1,0.7187341343712981,6748.782202834263,5,30,1000.0,10,02-03-26-211419
9,client9,0.6780911309084718,6867.297067074105,5,30,1000.0,10,02-03-26-211419
10,client5,0.6696761087913328,7756.6327571403235,5,30,1000.0,10,02-03-26-211419
10,client17,0.6809443507588533,6635.352645069361,5,30,1000.0,10,02-03-26-211419
10,client13,0.7457532409476978,8523.703133920208,5,30,1000.0,10,02-03-26-211419
10,client1,0.6648050995656344,6895.587365143001,5,30,1000.0,10,02-03-26-211419
10,client9,0.5975146115871305,6792.863241862506,5,30,1000.0,10,02-03-26-211419
11,client5,0.7022345107775646,7149.622338125482,5,30,1000.0,10,02-03-26-211419
11,client17,0.436424957841484,6493.637962965295,5,30,1000.0,10,02-03-26-211419
11,client13,0.683504693786321,8666.52376507409,5,30,1000.0,10,02-03-26-211419
