Round,ClientID,ClientAccuracy,ClientTrainingTime,clients,rounds,timestamp,experiment
6,client10,0.5623143397245477,720.0745330192149,3,10,12-01-26-150656,C3_R10_12-01-26-150656
7,client5,0.5426468948600736,770.1153666712344,3,10,12-01-26-150656,C3_R10_12-01-26-150656
7,client2,0.5732261116367077,541.5386077947915,3,10,12-01-26-150656,C3_R10_12-01-26-150656
7,client10,0.5419929786659465,712.2199302539229,3,10,12-01-26-150656,C3_R10_12-01-26-150656
8,client5,0.6016278291894303,744.1113479435444,3,10,12-01-26-150656,C3_R10_12-01-26-150656
8,client2,0.5325449385052035,539.9064077064395,3,10,12-01-26-150656,C3_R10_12-01-26-150656
8,client10,0.5388198757763976,742.5984400324523,3,10,12-01-26-150656,C3_R10_12-01-26-150656
9,client5,0.5890846248188204,788.268696051091,3,10,12-01-26-150656,C3_R10_12-01-26-150656
9,client2,0.5992431409649953,574.8237110674381,3,10,12-01-26-150656,C3_R10_12-01-26-150656
9,client10,0.6047799081825547,636.2198647111654,3,10,12-01-26-150656,C3_R10_12-01-26-150656
0,client5,0.5508975359571858,792.6479666493833,3,10,12-01-26-151426,C3_R10_12-01-26-151426
0,client2,0.507190160832545,554.832128342241,3,10,12-01-26-151426,C3_R10_12-01-26-151426
0,client10,0.5672427761274642,658.8905770331621,3,10,12-01-26-151426,C3_R10_12-01-26-151426
1,client5,0.5428698851599956,814.6257661283016,3,10,12-01-26-151426,C3_R10_12-01-26-151426
1,client2,0.5541154210028382,518.1679171510041,3,10,12-01-26-151426,C3_R10_12-01-26-151426
1,client10,0.5789900081015393,671.0595418699086,3,10,12-01-26-151426,C3_R10_12-01-26-151426
2,client5,0.6013490913145279,797.0099546946585,3,10,12-01-26-151426,C3_R10_12-01-26-151426
2,client2,0.5898770104068117,500.0199349597096,3,10,12-01-26-151426,C3_R10_12-01-26-151426
2,client10,0.590939778557926,717.6100839860737,3,10,12-01-26-151426,C3_R10_12-01-26-151426
3,client5,0.5445980599843907,779.6453209593892,3,10,12-01-26-151426,C3_R10_12-01-26-151426
3,client2,0.5315042573320718,507.2989561595023,3,10,12-01-26-151426,C3_R10_12-01-26-151426
3,client10,0.535511747231974,665.9120172262192,3,10,12-01-26-151426,C3_R10_12-01-26-151426
4,client5,0.5650574200022299,776.1180750094354,3,10,12-01-26-151426,C3_R10_12-01-26-151426
4,client2,0.6000946073793756,503.3835619688034,3,10,12-01-26-151426,C3_R10_12-01-26-151426
4,client10,0.525047258979206,669.4442168809474,3,10,12-01-26-151426,C3_R10_12-01-26-151426
5,client5,0.5554130895306054,762.3002040199935,3,10,12-01-26-151426,C3_R10_12-01-26-151426
5,client2,0.5272469252601703,626.0004467330873,3,10,12-01-26-151426,C3_R10_12-01-26-151426
5,client10,0.5727788279773157,701.8969641067088,3,10,12-01-26-151426,C3_R10_12-01-26-151426
6,client5,0.5132121752703758,802.9065411537886,3,10,12-01-26-151426,C3_R10_12-01-26-151426
6,client2,0.5963103122043519,582.0117401890457,3,10,12-01-26-151426,C3_R10_12-01-26-151426
6,client10,0.5315284904131785,664.3447778187692,3,10,12-01-26-151426,C3_R10_12-01-26-151426
7,client5,0.5976140037908351,790.1550116948783,3,10,12-01-26-151426,C3_R10_12-01-26-151426
7,client2,0.5848628192999054,510.19621500745416,3,10,12-01-26-151426,C3_R10_12-01-26-151426
7,client10,0.584593572778828,672.8453398682177,3,10,12-01-26-151426,C3_R10_12-01-26-151426
8,client5,0.6041922176385327,773.7726750783622,3,10,12-01-26-151426,C3_R10_12-01-26-151426
8,client2,0.5298013245033113,504.4388701207936,3,10,12-01-26-151426,C3_R10_12-01-26-151426
8,client10,0.5513772616797191,662.0277580805123,3,10,12-01-26-151426,C3_R10_12-01-26-151426
9,client5,0.6021853049392352,768.4475788846612,3,10,12-01-26-151426,C3_R10_12-01-26-151426
9,client2,0.5717123935666982,494.8911517858505,3,10,12-01-26-151426,C3_R10_12-01-26-151426
9,client10,0.6057250877666757,716.7373583652079,3,10,12-01-26-151426,C3_R10_12-01-26-151426
0,client5,0.5477756717582785,780.0827170722187,3,30,12-01-26-153806,C3_R30_12-01-26-153806
0,client2,0.5690633869441817,483.4055472165346,3,30,12-01-26-153806,C3_R30_12-01-26-153806
0,client10,0.5170132325141777,645.9379969164729,3,30,12-01-26-153806,C3_R30_12-01-26-153806
1,client5,0.5143271267699855,891.098540276289,3,30,12-01-26-153806,C3_R30_12-01-26-153806
1,client2,0.5457899716177862,479.17805379256606,3,30,12-01-26-153806,C3_R30_12-01-26-153806
1,client10,0.5903996759384283,664.8711878806353,3,30,12-01-26-153806,C3_R30_12-01-26-153806
2,client5,0.5978369940907571,765.1963117532432,3,30,12-01-26-153806,C3_R30_12-01-26-153806
2,client2,0.5196783349101229,487.58024582639337,3,30,12-01-26-153806,C3_R30_12-01-26-153806
2,client10,0.5297056440723737,658.2326292991638,3,30,12-01-26-153806,C3_R30_12-01-26-153806
3,client5,0.5341175158880589,817.6116729155183,3,30,12-01-26-153806,C3_R30_12-01-26-153806
3,client2,0.5398297067171239,527.7417208999395,3,30,12-01-26-153806,C3_R30_12-01-26-153806
3,client10,0.5798001620307859,670.8899652585387,3,30,12-01-26-153806,C3_R30_12-01-26-153806
4,client5,0.5656706433270152,785.2407502941787,3,30,12-01-26-153806,C3_R30_12-01-26-153806
4,client2,0.5789025543992431,524.9780477024615,3,30,12-01-26-153806,C3_R30_12-01-26-153806
