namespace,pod_name,container_name,joules,clients,rounds,timestamp,experiment
client1,maurits-dijk-1b058a49client11-sndz2,hfl-train,583.7258999999999,15,20,small,C15_R20_small_26-01-26-125711_small
client17,maurits-dijk-1b058a49client171-dkwxj,hfl-train,570.486,15,20,small,C15_R20_small_26-01-26-125711_small
client17,maurits-dijk-1b058a49client171-dkwxj,sidecar,543.6302,15,20,small,C15_R20_small_26-01-26-125711_small
client17,maurits-dijk-1b058a49client171-dkwxj,hfl-train-model,544.7817,15,20,small,C15_R20_small_26-01-26-125711_small
client8,maurits-dijk-1b058a49client81-lt2kg,hfl-train-model,536.8998,15,20,small,C15_R20_small_26-01-26-125711_small
client8,maurits-dijk-1b058a49client81-lt2kg,sidecar,535.894,15,20,small,C15_R20_small_26-01-26-125711_small
client8,maurits-dijk-1b058a49client81-lt2kg,hfl-train,555.8455,15,20,small,C15_R20_small_26-01-26-125711_small
client7,maurits-dijk-1b058a49client71-2frsz,hfl-train-model,537.460275,15,20,small,C15_R20_small_26-01-26-125711_small
client7,maurits-dijk-1b058a49client71-2frsz,hfl-train,556.2309,15,20,small,C15_R20_small_26-01-26-125711_small
client7,maurits-dijk-1b058a49client71-2frsz,sidecar,536.5931250000001,15,20,small,C15_R20_small_26-01-26-125711_small
client14,maurits-dijk-1b058a49client141-9qf4r,sidecar,552.4803,15,20,small,C15_R20_small_26-01-26-125711_small
client14,maurits-dijk-1b058a49client141-9qf4r,hfl-train,584.6424,15,20,small,C15_R20_small_26-01-26-125711_small
client14,maurits-dijk-1b058a49client141-9qf4r,hfl-train-model,553.2981,15,20,small,C15_R20_small_26-01-26-125711_small
client3,maurits-dijk-1b058a49client31-t8q2l,hfl-train-model,565.822425,15,20,small,C15_R20_small_26-01-26-125711_small
client3,maurits-dijk-1b058a49client31-t8q2l,hfl-train,617.3543999999999,15,20,small,C15_R20_small_26-01-26-125711_small
client3,maurits-dijk-1b058a49client31-t8q2l,sidecar,564.5181750000002,15,20,small,C15_R20_small_26-01-26-125711_small
client16,maurits-dijk-1b058a49client161-fqz6v,hfl-train,544.4186250000001,15,20,small,C15_R20_small_26-01-26-125711_small
client16,maurits-dijk-1b058a49client161-fqz6v,sidecar,519.26775,15,20,small,C15_R20_small_26-01-26-125711_small
client16,maurits-dijk-1b058a49client161-fqz6v,hfl-train-model,520.2018750000001,15,20,small,C15_R20_small_26-01-26-125711_small
client11,maurits-dijk-1b058a49client111-gqk9f,sidecar,597.0327750000001,15,20,small,C15_R20_small_26-01-26-125711_small
client11,maurits-dijk-1b058a49client111-gqk9f,hfl-train,632.1135750000001,15,20,small,C15_R20_small_26-01-26-125711_small
client11,maurits-dijk-1b058a49client111-gqk9f,hfl-train-model,598.0515,15,20,small,C15_R20_small_26-01-26-125711_small
client15,maurits-dijk-1b058a49client151-99vlh,sidecar,570.9865500000001,15,20,small,C15_R20_small_26-01-26-125711_small
client15,maurits-dijk-1b058a49client151-99vlh,hfl-train-model,571.7232750000001,15,20,small,C15_R20_small_26-01-26-125711_small
client15,maurits-dijk-1b058a49client151-99vlh,hfl-train,611.2773000000001,15,20,small,C15_R20_small_26-01-26-125711_small
client12,maurits-dijk-1b058a49client121-hrw94,sidecar,538.947825,15,20,small,C15_R20_small_26-01-26-125711_small
client12,maurits-dijk-1b058a49client121-hrw94,hfl-train,579.7074,15,20,small,C15_R20_small_26-01-26-125711_small
client12,maurits-dijk-1b058a49client121-hrw94,hfl-train-model,539.5541250000001,15,20,small,C15_R20_small_26-01-26-125711_small
server,maurits-dijk-1b058a49server1-xwhdp,sidecar,429.898425,15,20,small,C15_R20_small_26-01-26-125711_small
server,maurits-dijk-1b058a49server1-xwhdp,hfl-train,476.026575,15,20,small,C15_R20_small_26-01-26-125711_small
server,maurits-dijk-1b058a49server1-xwhdp,hfl-train-model,484.18342500000006,15,20,small,C15_R20_small_26-01-26-125711_small
client18,maurits-dijk-1b058a49client181-8n72f,hfl-train,600.3533249999999,15,20,small,C15_R20_small_26-01-26-125711_small
client18,maurits-dijk-1b058a49client181-8n72f,sidecar,563.6052000000001,15,20,small,C15_R20_small_26-01-26-125711_small
client18,maurits-dijk-1b058a49client181-8n72f,hfl-train-model,564.47235,15,20,small,C15_R20_small_26-01-26-125711_small
client8,client8-5845965f99-bp45n,linkerd-init,0.0,15,20,small,C15_R20_small_26-01-26-130354_small
client2,client2-86cd6d8cf7-fdcv8,linkerd-init,0.0,15,20,small,C15_R20_small_26-01-26-130354_small
client20,client20-65f8864f77-sbvxr,client20,633.1212,15,20,small,C15_R20_small_26-01-26-130354_small
client20,client20-65f8864f77-sbvxr,sidecar,576.8395,15,20,small,C15_R20_small_26-01-26-130354_small
client20,client20-65f8864f77-sbvxr,linkerd-proxy,633.0857000000001,15,20,small,C15_R20_small_26-01-26-130354_small
client20,client20-65f8864f77-sbvxr,linkerd-init,0.0,15,20,small,C15_R20_small_26-01-26-130354_small
client7,client7-544486cc98-frffq,client7,594.3623,15,20,small,C15_R20_small_26-01-26-130354_small
client7,client7-544486cc98-frffq,linkerd-proxy,592.21455,15,20,small,C15_R20_small_26-01-26-130354_small
client7,client7-544486cc98-frffq,sidecar,591.17085,15,20,small,C15_R20_small_26-01-26-130354_small
client7,client7-544486cc98-frffq,linkerd-init,0.0,15,20,small,C15_R20_small_26-01-26-130354_small
client9,client9-d68fb99b4-69wzb,linkerd-init,0.0,15,20,small,C15_R20_small_26-01-26-130354_small
client14,client14-856b5b5576-9m2bb,sidecar,569.6661333333333,15,20,small,C15_R20_small_26-01-26-130354_small
client14,client14-856b5b5576-9m2bb,linkerd-init,0.0,15,20,small,C15_R20_small_26-01-26-130354_small
client14,client14-856b5b5576-9m2bb,client14,572.9984,15,20,small,C15_R20_small_26-01-26-130354_small
client14,client14-856b5b5576-9m2bb,linkerd-proxy,570.84,15,20,small,C15_R20_small_26-01-26-130354_small
client3,client3-58c68898cd-kbxk7,client3,565.4392666666668,15,20,small,C15_R20_small_26-01-26-130354_small
client3,client3-58c68898cd-kbxk7,sidecar,561.8656,15,20,small,C15_R20_small_26-01-26-130354_small
