Unnamed: 0,GlobalAccuracy,AggregationTime,TotalTrainingTime,RoundDuration,K,Z,sigma_ed,sigma_iid,timestamp
16,0.6498156115550092,500.2713080029935,12179.872559383512,155463261199,5,90,1000.0,10,02-03-26-233730
17,0.667140442532268,515.3121158946306,12609.209293033928,153361281331,5,90,1000.0,10,02-03-26-233730
18,0.677320221266134,536.5323398727924,12684.532093349844,154660279839,5,90,1000.0,10,02-03-26-233730
19,0.6819683466502766,513.4644089266658,11961.375845130531,155506682015,5,90,1000.0,10,02-03-26-233730
20,0.6761293792255685,505.4770892020315,12364.357806742191,153041594478,5,90,1000.0,10,02-03-26-233730
21,0.6937615242778119,582.2253769729286,12058.304636739194,155560870823,5,90,1000.0,10,02-03-26-233730
22,0.7089351567301783,508.9546979870647,12882.99970747903,155853565595,5,90,1000.0,10,02-03-26-233730
23,0.7014827904118008,486.4782649092376,12307.658134959638,155327441969,5,90,1000.0,10,02-03-26-233730
24,0.7089351567301783,546.2505458854139,12367.85680311732,155885926794,5,90,1000.0,10,02-03-26-233730
0,0.0651121696373693,617.7809729706496,3462.421542266384,152344164815,5,400,1000.0,10,03-03-26-155553
1,0.1784342347879532,507.7342879958451,3373.5977101605386,154370886948,5,400,1000.0,10,03-03-26-155553
2,0.0981100184388445,511.9116639252752,3012.27430999279,153415795404,5,400,1000.0,10,03-03-26-155553
3,0.1432851874615857,478.43411890789866,2952.300741104409,155065864836,5,400,1000.0,10,03-03-26-155553
4,0.1982944068838353,497.89336789399385,2980.334064690396,152989934231,5,400,1000.0,10,03-03-26-155553
5,0.2606023355869699,534.4916610047221,3343.1613717693835,152744854834,5,400,1000.0,10,03-03-26-155553
6,0.3061232329440688,492.9120659362525,3090.971812140197,153787986415,5,400,1000.0,10,03-03-26-155553
7,0.2889904732636755,455.1099219825119,2983.810360077769,153310260699,5,400,1000.0,10,03-03-26-155553
8,0.3695451751690227,500.0798190012574,3051.921266829595,151874473343,5,400,1000.0,10,03-03-26-155553
9,0.4011216963736939,536.5019009914249,3054.7324891667813,152883710576,5,400,1000.0,10,03-03-26-155553
10,0.4505608481868469,523.6106519587338,3053.5374369937927,153895978211,5,400,1000.0,10,03-03-26-155553
11,0.4622771972956361,526.4387850183994,3024.033042835072,152964998045,5,400,1000.0,10,03-03-26-155553
12,0.4699216349108789,479.0345039218664,3011.3839542027563,152264456185,5,400,1000.0,10,03-03-26-155553
13,0.515980331899201,529.5341259334236,3018.986970186233,152299778949,5,400,1000.0,10,03-03-26-155553
14,0.5389904732636754,524.1728641558439,2947.2397104837,153485699555,5,400,1000.0,10,03-03-26-155553
15,0.5239320835894284,498.9443228114396,3024.944242089987,152729503815,5,400,1000.0,10,03-03-26-155553
16,0.5816303011677935,496.5538841206581,2998.0093771591783,152447758309,5,400,1000.0,10,03-03-26-155553
17,0.5549323909035033,506.1906739138067,2893.9146159682423,151821611221,5,400,1000.0,10,03-03-26-155553
18,0.5744084204056545,509.4771620351821,2939.334988826886,152075582680,5,400,1000.0,10,03-03-26-155553
19,0.5558927473878303,523.1802850030363,2992.164454655722,153982904412,5,400,1000.0,10,03-03-26-155553
20,0.594460663798402,498.16447915509343,3004.2568834032863,152931865709,5,400,1000.0,10,03-03-26-155553
21,0.5984941610325752,476.7634391319007,2937.3248831834644,152799352058,5,400,1000.0,10,03-03-26-155553
22,0.5728334357713584,506.6406191326678,2945.5658479128037,153454351830,5,400,1000.0,10,03-03-26-155553
23,0.594998463429625,503.97515995427966,2967.607584549114,153638593720,5,400,1000.0,10,03-03-26-155553
24,0.5889290104486785,542.0517399907112,2952.0889865234494,153294272227,5,400,1000.0,10,03-03-26-155553
0,0.2187307928703134,1260.9259490855038,82802.84384568222,168723184423,10,30,1000.0,10,03-03-26-181611
1,0.4896665642286417,1138.8535229489207,75312.76526139118,167877476531,10,30,1000.0,10,03-03-26-181611
2,0.4051167793484941,1035.5085749179125,76342.66346646473,166511286106,10,30,1000.0,10,03-03-26-181611
3,0.5487861094038107,1171.7738159932196,76315.36373589188,167231883478,10,30,1000.0,10,03-03-26-181611
4,0.6578826060233559,1071.8918500933796,76376.49752921425,167044331592,10,30,1000.0,10,03-03-26-181611
5,0.6878073140749846,1016.7569329496472,76700.61322511174,165398544501,10,30,1000.0,10,03-03-26-181611
6,0.705900430239705,1126.7321570776403,73441.63460587151,166451382582,10,30,1000.0,10,03-03-26-181611
